,BURGLARY,COMMON ASSAULT,LARCENY,ROBBERY - STREET,AUTO THEFT,AGG. ASSAULT,LARCENY FROM AUTO,SHOOTING,ROBBERY - RESIDENCE,ROBBERY - COMMERCIAL,ARSON,HOMICIDE,ROBBERY - CARJACKING,RAPE
2014-03-13,15,22,31,2,10,7,10,0,4,0,0.0,0.0,0.0,1.0
2014-03-14,23,32,38,9,9,18,14,2,3,3,0.0,1.0,0.0,2.0
2014-03-15,12,27,52,5,10,18,23,1,1,0,0.0,0.0,2.0,1.0
2014-03-16,7,20,23,5,5,10,15,1,2,0,0.0,0.0,0.0,0.0
2014-03-17,12,16,16,4,7,9,12,1,1,1,0.0,0.0,0.0,3.0
2014-03-18,17,26,23,3,8,11,17,0,1,1,0.0,0.0,0.0,0.0
2014-03-19,13,14,29,6,10,14,6,0,1,1,0.0,0.0,0.0,0.0
2014-03-20,14,16,20,2,5,19,18,0,3,1,0.0,0.0,0.0,1.0
2014-03-21,18,28,21,2,9,9,17,0,0,0,0.0,0.0,1.0,1.0
2014-03-22,19,18,15,2,12,18,30,0,2,0,1.0,0.0,1.0,1.0
2014-03-23,8,16,24,5,6,15,28,0,1,1,1.0,0.0,0.0,3.0
2014-03-24,19,36,32,6,10,11,12,1,1,3,0.0,0.0,0.0,0.0
2014-03-25,22,18,34,3,10,12,15,2,0,3,0.0,1.0,0.0,1.0
2014-03-26,12,17,25,2,7,12,22,0,0,1,0.0,0.0,0.0,1.0
2014-03-27,18,26,38,10,11,20,10,1,0,3,1.0,1.0,1.0,1.0
2014-03-28,13,23,27,4,14,10,23,2,0,3,1.0,0.0,1.0,1.0
2014-03-29,12,19,21,4,11,7,13,0,1,1,0.0,0.0,1.0,1.0
2014-03-30,7,19,26,2,12,9,12,0,0,2,1.0,0.0,2.0,0.0
2014-03-31,14,30,47,10,9,10,13,4,0,1,0.0,1.0,0.0,2.0
2014-04-01,19,21,41,4,8,16,12,1,0,0,0.0,0.0,0.0,2.0
2014-04-02,16,19,46,3,9,11,11,0,0,0,0.0,0.0,0.0,2.0
2014-04-03,16,20,30,7,8,14,21,0,0,0,1.0,1.0,0.0,0.0
2014-04-04,18,29,37,8,12,14,19,0,0,0,0.0,1.0,0.0,0.0
2014-04-05,10,22,28,6,11,15,18,1,3,1,0.0,0.0,0.0,1.0
2014-04-06,5,26,24,4,12,13,9,1,1,0,1.0,1.0,0.0,1.0
2014-04-07,14,24,32,4,11,9,15,0,0,0,1.0,0.0,1.0,1.0
2014-04-08,19,25,29,5,13,8,14,0,1,1,1.0,1.0,0.0,2.0
2014-04-09,15,25,42,6,8,11,16,1,0,5,0.0,0.0,0.0,0.0
2014-04-10,13,20,29,5,11,9,24,1,0,0,0.0,0.0,1.0,1.0
2014-04-11,18,18,34,5,10,14,14,0,0,0,1.0,0.0,0.0,0.0
2014-04-12,18,27,38,6,7,9,14,0,0,1,0.0,0.0,0.0,0.0
2014-04-13,11,33,24,7,17,19,12,3,1,0,2.0,0.0,1.0,1.0
2014-04-14,21,19,43,9,10,13,19,1,2,1,1.0,1.0,1.0,1.0
2014-04-15,20,13,39,1,8,12,11,0,0,1,0.0,1.0,3.0,0.0
2014-04-16,21,15,29,8,12,15,12,0,0,0,1.0,1.0,0.0,1.0
2014-04-17,13,21,34,6,9,13,27,1,1,2,0.0,1.0,0.0,0.0
2014-04-18,16,21,34,4,10,13,14,1,2,3,0.0,1.0,1.0,0.0
2014-04-19,12,25,33,8,5,17,13,1,0,1,4.0,0.0,0.0,0.0
2014-04-20,11,28,31,5,4,19,15,2,1,0,1.0,0.0,0.0,1.0
2014-04-21,17,19,31,5,11,14,18,1,1,0,1.0,0.0,0.0,1.0
2014-04-22,25,23,22,4,9,12,21,0,0,2,3.0,1.0,0.0,0.0
2014-04-23,27,25,37,3,6,14,24,0,2,1,0.0,0.0,0.0,0.0
2014-04-24,18,25,24,7,8,16,21,1,2,1,0.0,0.0,1.0,0.0
2014-04-25,22,27,33,10,16,15,12,1,1,0,0.0,0.0,0.0,0.0
2014-04-26,13,27,46,3,10,15,14,1,3,1,1.0,0.0,0.0,0.0
2014-04-27,15,38,30,4,12,21,10,3,3,1,2.0,2.0,1.0,1.0
2014-04-28,26,24,39,8,11,15,14,1,2,1,2.0,0.0,0.0,1.0
2014-04-29,12,26,28,9,12,8,18,0,1,1,0.0,0.0,0.0,2.0
2014-04-30,12,20,32,7,10,6,16,1,2,4,0.0,0.0,0.0,0.0
2014-05-01,16,24,41,11,11,12,14,1,0,1,1.0,0.0,0.0,0.0
2014-05-02,25,22,32,6,10,15,13,1,1,1,0.0,0.0,0.0,1.0
2014-05-03,15,24,24,7,4,13,17,1,1,2,0.0,3.0,0.0,0.0
2014-05-04,13,22,40,8,5,11,18,0,1,1,2.0,0.0,0.0,1.0
2014-05-05,18,25,39,4,7,14,16,4,1,3,0.0,1.0,0.0,0.0
2014-05-06,24,27,35,9,8,13,15,1,1,0,1.0,1.0,1.0,1.0
2014-05-07,18,25,34,8,15,13,12,0,2,1,2.0,1.0,1.0,1.0
2014-05-08,25,24,35,2,9,7,22,1,2,1,1.0,0.0,1.0,1.0
2014-05-09,27,19,39,11,9,17,19,1,0,0,0.0,1.0,2.0,1.0
2014-05-10,13,28,27,6,12,12,12,0,2,2,0.0,0.0,0.0,0.0
2014-05-11,16,25,21,11,11,16,18,0,1,1,1.0,2.0,0.0,0.0
2014-05-12,22,20,26,9,16,14,16,1,1,3,1.0,1.0,0.0,1.0
2014-05-13,16,20,29,10,8,17,26,0,1,2,0.0,0.0,0.0,0.0
2014-05-14,32,26,33,5,9,12,18,1,0,1,0.0,0.0,1.0,0.0
2014-05-15,21,30,36,4,15,13,26,0,3,0,0.0,1.0,0.0,0.0
2014-05-16,23,18,43,2,16,14,23,3,1,0,1.0,1.0,1.0,0.0
2014-05-17,15,36,45,4,16,21,18,5,1,2,2.0,1.0,0.0,0.0
2014-05-18,17,25,27,11,10,10,17,0,0,0,0.0,0.0,0.0,1.0
2014-05-19,16,21,52,8,9,8,16,1,0,2,1.0,0.0,0.0,1.0
2014-05-20,24,23,50,3,9,16,19,0,2,2,1.0,0.0,1.0,1.0
2014-05-21,16,18,25,9,10,20,18,4,2,5,0.0,2.0,1.0,1.0
2014-05-22,27,25,30,13,7,19,32,4,0,2,0.0,1.0,0.0,0.0
2014-05-23,25,25,43,7,6,16,16,2,0,1,2.0,1.0,0.0,0.0
2014-05-24,10,17,32,10,10,18,20,0,1,1,1.0,1.0,0.0,2.0
2014-05-25,18,21,27,4,16,15,21,0,0,3,1.0,0.0,0.0,2.0
2014-05-26,12,30,18,3,11,20,18,2,1,2,1.0,1.0,0.0,3.0
2014-05-27,20,24,33,8,8,20,18,0,1,1,4.0,2.0,0.0,3.0
2014-05-28,17,18,35,13,8,9,17,3,0,6,0.0,0.0,2.0,0.0
2014-05-29,22,18,34,5,6,8,12,1,2,4,1.0,0.0,1.0,0.0
2014-05-30,23,19,34,7,14,13,12,1,0,1,0.0,0.0,0.0,1.0
2014-05-31,14,18,25,10,10,14,26,0,0,3,2.0,2.0,0.0,1.0
2014-06-01,11,13,32,6,10,12,22,0,2,2,1.0,2.0,0.0,3.0
2014-06-02,21,29,37,13,9,13,14,4,4,1,0.0,1.0,0.0,0.0
2014-06-03,26,23,24,8,8,11,15,0,0,2,1.0,2.0,0.0,0.0
2014-06-04,21,23,49,11,14,7,12,0,0,2,1.0,0.0,1.0,1.0
2014-06-05,15,27,32,6,8,12,17,0,2,0,0.0,0.0,2.0,0.0
2014-06-06,19,29,37,3,10,10,18,1,2,2,0.0,1.0,0.0,1.0
2014-06-07,12,31,33,3,5,9,22,0,0,2,0.0,1.0,0.0,1.0
2014-06-08,19,19,35,8,12,19,10,2,5,3,1.0,2.0,0.0,1.0
2014-06-09,20,29,39,9,9,11,26,1,2,1,0.0,0.0,1.0,0.0
2014-06-10,19,21,32,5,7,13,10,1,0,3,0.0,0.0,1.0,0.0
2014-06-11,20,23,34,8,13,8,15,0,0,0,1.0,0.0,1.0,2.0
2014-06-12,29,24,29,8,11,15,10,1,0,0,1.0,0.0,0.0,0.0
2014-06-13,18,17,33,8,4,13,19,0,1,2,0.0,0.0,0.0,1.0
2014-06-14,18,24,41,8,12,19,16,0,0,2,2.0,1.0,2.0,1.0
2014-06-15,13,32,32,10,12,16,30,4,0,0,0.0,0.0,0.0,0.0
2014-06-16,17,22,44,6,11,13,31,2,0,0,1.0,1.0,0.0,1.0
2014-06-17,17,23,32,8,12,10,19,1,0,0,1.0,0.0,0.0,0.0
2014-06-18,14,18,36,4,16,9,23,0,4,2,0.0,0.0,1.0,0.0
2014-06-19,34,17,26,11,12,7,20,2,1,4,0.0,0.0,0.0,0.0
2014-06-20,24,21,46,17,12,5,21,0,0,3,0.0,0.0,1.0,1.0
2014-06-21,17,18,29,7,12,9,30,0,1,4,0.0,2.0,0.0,1.0
2014-06-22,14,27,24,4,11,7,13,1,0,1,0.0,0.0,0.0,0.0
2014-06-23,26,21,33,2,6,20,27,1,0,1,2.0,0.0,0.0,1.0
2014-06-24,16,25,29,7,17,19,36,3,2,6,0.0,0.0,0.0,1.0
2014-06-25,18,14,37,4,15,10,24,2,1,1,0.0,0.0,0.0,1.0
2014-06-26,24,20,29,6,18,5,19,1,3,0,0.0,1.0,0.0,1.0
2014-06-27,27,22,36,11,8,7,25,0,2,1,1.0,0.0,1.0,1.0
2014-06-28,23,27,40,8,15,14,23,0,4,5,0.0,0.0,0.0,0.0
2014-06-29,12,12,24,7,12,15,33,1,0,0,1.0,3.0,1.0,0.0
2014-06-30,16,14,30,8,8,7,24,3,4,2,0.0,0.0,0.0,0.0
2014-07-01,31,21,31,3,12,27,18,2,2,2,0.0,1.0,1.0,1.0
2014-07-02,19,22,22,10,11,11,18,2,1,0,0.0,0.0,0.0,2.0
2014-07-03,33,12,34,2,9,8,17,1,0,1,2.0,0.0,1.0,0.0
2014-07-04,16,23,19,9,9,10,16,0,4,1,1.0,2.0,0.0,1.0
2014-07-05,17,21,34,8,1,16,18,4,3,1,0.0,3.0,0.0,0.0
2014-07-06,17,25,31,5,17,7,27,1,2,3,2.0,0.0,0.0,3.0
2014-07-07,24,21,32,8,13,10,24,1,0,1,1.0,0.0,1.0,0.0
2014-07-08,14,10,35,9,13,11,27,1,0,1,0.0,1.0,0.0,0.0
2014-07-09,22,18,39,9,16,9,25,0,1,1,0.0,0.0,1.0,1.0
2014-07-10,21,29,32,1,12,10,22,0,0,4,2.0,0.0,1.0,1.0
2014-07-11,23,18,31,8,16,16,22,1,1,0,1.0,0.0,0.0,0.0
2014-07-12,18,21,40,9,10,12,16,1,0,2,0.0,0.0,0.0,1.0
2014-07-13,13,22,26,5,16,13,29,0,3,0,0.0,0.0,0.0,1.0
2014-07-14,29,24,29,7,10,8,27,2,1,1,0.0,0.0,0.0,0.0
2014-07-15,26,14,27,7,18,11,22,1,1,3,0.0,1.0,0.0,1.0
2014-07-16,24,17,35,8,14,6,31,0,1,1,0.0,4.0,0.0,0.0
2014-07-17,17,19,31,1,16,13,25,1,1,1,0.0,3.0,0.0,1.0
2014-07-18,18,19,40,0,9,18,19,2,3,1,1.0,0.0,0.0,0.0
2014-07-19,16,36,25,8,10,13,18,0,1,0,0.0,0.0,0.0,0.0
2014-07-20,15,20,44,12,10,15,30,0,2,1,3.0,1.0,0.0,0.0
2014-07-21,24,17,46,8,10,18,16,1,0,2,2.0,0.0,0.0,1.0
2014-07-22,23,19,37,5,15,16,12,1,2,2,0.0,0.0,0.0,0.0
2014-07-23,16,22,28,2,14,10,32,4,0,1,0.0,1.0,1.0,0.0
2014-07-24,29,20,38,6,9,12,25,1,0,3,2.0,0.0,0.0,0.0
2014-07-25,27,13,40,13,16,10,27,4,0,2,0.0,0.0,0.0,1.0
2014-07-26,21,19,30,5,9,11,33,1,3,1,2.0,1.0,0.0,0.0
2014-07-27,15,26,36,11,5,15,28,4,7,2,0.0,0.0,1.0,1.0
2014-07-28,15,12,29,5,6,9,21,1,0,2,1.0,0.0,0.0,0.0
2014-07-29,18,17,43,6,14,17,18,3,2,0,0.0,0.0,0.0,0.0
2014-07-30,18,14,47,6,8,14,20,5,1,1,1.0,1.0,0.0,0.0
2014-07-31,16,22,27,5,10,13,29,4,1,0,2.0,2.0,0.0,0.0
2014-08-01,27,20,55,7,14,23,17,6,3,3,2.0,2.0,0.0,2.0
2014-08-02,13,18,27,4,6,17,23,0,1,1,0.0,0.0,1.0,0.0
2014-08-03,16,22,32,4,15,15,19,3,2,1,0.0,1.0,0.0,0.0
2014-08-04,22,18,38,6,6,11,18,1,1,3,1.0,0.0,0.0,1.0
2014-08-05,15,17,34,10,9,6,18,1,0,2,1.0,1.0,0.0,1.0
2014-08-06,16,23,36,8,10,10,30,0,4,3,1.0,0.0,0.0,2.0
2014-08-07,16,19,33,6,8,14,26,1,2,4,0.0,1.0,1.0,2.0
2014-08-08,19,24,50,7,10,12,18,4,0,2,0.0,0.0,1.0,1.0
2014-08-09,17,20,20,2,15,9,15,1,1,0,0.0,3.0,0.0,1.0
2014-08-10,20,24,29,8,14,16,34,0,4,3,1.0,1.0,2.0,1.0
