,dateFiled,type,issue
0,11/30/17,2,Mueller investigation
1,8/14/18,1,Mueller investigation
2,1/24/19,1,Mueller investigation
3,12/17/18,2,Emoluments
4,6/12/17,2,Emoluments
5,7/11/17,2,First Amendment
