CrimeDateTime,HOMICIDE,AGG. ASSAULT,COMMON ASSAULT,LARCENY,AUTO THEFT,ROBBERY - CARJACKING,BURGLARY,LARCENY FROM AUTO,ROBBERY - COMMERCIAL,SHOOTING,ROBBERY - RESIDENCE,ROBBERY - STREET,ARSON,RAPE
2014-02-25 00:00:00+00:00,1,12,29,24,11,0.0,15,17,1,0,0.0,7.0,0.0,0.0
2014-02-26 00:00:00+00:00,0,15,22,15,9,0.0,16,12,1,2,2.0,8.0,0.0,0.0
2014-02-27 00:00:00+00:00,0,5,25,22,4,0.0,16,15,0,0,3.0,12.0,0.0,1.0
2014-02-28 00:00:00+00:00,0,10,22,33,10,0.0,20,20,0,0,1.0,6.0,0.0,2.0
2014-03-01 00:00:00+00:00,1,15,22,29,11,1.0,18,12,0,2,3.0,7.0,0.0,4.0
2014-03-02 00:00:00+00:00,0,12,29,16,4,0.0,5,12,4,1,1.0,0.0,0.0,0.0
2014-03-03 00:00:00+00:00,0,9,11,10,5,0.0,8,10,0,0,1.0,2.0,0.0,0.0
2014-03-04 00:00:00+00:00,0,16,23,22,10,0.0,13,9,0,0,0.0,4.0,0.0,0.0
2014-03-05 00:00:00+00:00,0,7,20,24,9,0.0,20,14,2,0,0.0,6.0,1.0,0.0
2014-03-06 00:00:00+00:00,0,13,22,24,9,0.0,15,16,1,0,2.0,6.0,0.0,0.0
2014-03-07 00:00:00+00:00,1,8,22,38,10,1.0,10,12,2,0,0.0,5.0,0.0,0.0
2014-03-08 00:00:00+00:00,1,13,19,25,9,1.0,15,17,0,0,0.0,6.0,0.0,1.0
2014-03-09 00:00:00+00:00,0,14,13,14,9,0.0,13,11,1,1,4.0,6.0,0.0,1.0
2014-03-10 00:00:00+00:00,0,13,25,38,9,0.0,20,15,2,1,0.0,3.0,0.0,2.0
2014-03-11 00:00:00+00:00,0,9,27,27,9,1.0,23,8,2,0,1.0,4.0,0.0,0.0
2014-03-12 00:00:00+00:00,0,17,15,22,4,0.0,18,8,0,1,0.0,8.0,0.0,1.0
2014-03-13 00:00:00+00:00,0,7,22,31,10,0.0,15,10,0,0,4.0,2.0,0.0,1.0
2014-03-14 00:00:00+00:00,1,18,32,38,9,0.0,23,14,3,2,3.0,9.0,0.0,2.0
2014-03-15 00:00:00+00:00,0,17,27,52,10,2.0,12,23,0,1,1.0,5.0,0.0,1.0
2014-03-16 00:00:00+00:00,0,10,20,23,5,0.0,7,15,0,1,2.0,5.0,0.0,0.0
2014-03-17 00:00:00+00:00,0,9,16,16,7,0.0,12,12,1,1,1.0,4.0,0.0,3.0
2014-03-18 00:00:00+00:00,0,11,26,23,7,0.0,17,17,1,0,1.0,3.0,0.0,0.0
2014-03-19 00:00:00+00:00,0,14,14,29,10,0.0,13,6,1,0,1.0,6.0,0.0,0.0
2014-03-20 00:00:00+00:00,0,19,15,20,5,0.0,14,18,1,0,3.0,2.0,0.0,1.0
2014-03-21 00:00:00+00:00,0,9,28,21,9,1.0,18,17,0,0,0.0,2.0,0.0,1.0
2014-03-22 00:00:00+00:00,0,18,18,15,12,1.0,19,30,0,0,2.0,2.0,1.0,1.0
2014-03-23 00:00:00+00:00,0,15,16,24,6,0.0,8,28,1,0,1.0,5.0,1.0,3.0
2014-03-24 00:00:00+00:00,0,11,36,32,10,0.0,19,12,3,1,1.0,6.0,0.0,0.0
2014-03-25 00:00:00+00:00,1,12,18,34,10,0.0,22,15,3,2,0.0,3.0,0.0,1.0
2014-03-26 00:00:00+00:00,0,12,17,25,7,0.0,12,22,1,0,0.0,2.0,0.0,1.0
2014-03-27 00:00:00+00:00,1,20,26,38,11,1.0,18,10,3,1,0.0,10.0,1.0,1.0
2014-03-28 00:00:00+00:00,0,10,23,27,14,1.0,12,23,3,2,0.0,4.0,1.0,1.0
2014-03-29 00:00:00+00:00,0,7,19,21,11,1.0,12,13,1,0,1.0,4.0,0.0,1.0
