id,release_date,movie,production_budget,domestic_gross,worldwide_gross,tconst,primary_title,original_title,start_year,runtime_minutes,genres,revenue-domestic,revenue-worldwide,lost_money,roi-domestic,roi-worldwide,release_month
97,2010-03-26,Chloe,13000000.0,3075255.0,11831131.0,tt8083476,Chloe,Chloe,2017,6.0,"Documentary,Family",-9924745.0,-1168869.0,True,-76.34419230769231,-8.9913,3
99,2015-12-04,Youth,13000000.0,2703296.0,24001573.0,tt2670524,Youth,Youth,2013,107.0,Drama,-10296704.0,11001573.0,True,-79.20541538461538,84.62748461538462,12
99,2015-12-04,Youth,13000000.0,2703296.0,24001573.0,tt3312830,Youth,Youth,2015,124.0,"Comedy,Drama,Music",-10296704.0,11001573.0,True,-79.20541538461538,84.62748461538462,12
99,2015-12-04,Youth,13000000.0,2703296.0,24001573.0,tt5671384,Youth,Youth,2016,124.0,Drama,-10296704.0,11001573.0,True,-79.20541538461538,84.62748461538462,12
3,2015-07-24,The Vatican Tapes,13000000.0,1784763.0,14929184.0,tt1524575,The Vatican Tapes,The Vatican Tapes,2015,91.0,"Horror,Thriller",-11215237.0,1929184.0,True,-86.27105384615385,14.839876923076922,7
7,2011-07-29,Attack the Block,13000000.0,1024175.0,6459183.0,tt1478964,Attack the Block,Attack the Block,2011,88.0,"Action,Comedy,Sci-Fi",-11975825.0,-6540817.0,True,-92.12173076923077,-50.31397692307692,7
9,2000-12-29,The Claim,13000000.0,622023.0,1375635.0,tt6922090,The Claim,The Claim,2017,,Drama,-12377977.0,-11624365.0,True,-95.21520769230769,-89.41819230769231,12
11,2010-06-18,The Killer Inside Me,13000000.0,217277.0,3617277.0,tt0954947,The Killer Inside Me,The Killer Inside Me,2010,109.0,"Crime,Drama,Horror",-12782723.0,-9382723.0,True,-98.32863846153846,-72.1747923076923,6
12,2012-03-30,Womb,13000000.0,0.0,0.0,tt1216520,Womb,Womb,2010,111.0,"Drama,Romance,Sci-Fi",-13000000.0,-13000000.0,True,-100.0,-100.0,3
14,2013-03-15,The Call,12800000.0,51872378.0,69821476.0,tt1911644,The Call,The Call,2013,94.0,"Crime,Drama,Horror",39072378.0,57021476.0,False,305.252953125,445.48028124999996,3
14,2013-03-15,The Call,12800000.0,51872378.0,69821476.0,tt2554760,The Call,The Call,2014,90.0,Drama,39072378.0,57021476.0,False,305.252953125,445.48028124999996,3
14,2013-03-15,The Call,12800000.0,51872378.0,69821476.0,tt4741754,The Call,The Call,2014,109.0,Thriller,39072378.0,57021476.0,False,305.252953125,445.48028124999996,3
16,2014-09-12,The Drop,12600000.0,10724389.0,19054534.0,tt1600196,The Drop,The Drop,2014,106.0,"Crime,Drama",-1875611.0,6454534.0,True,-14.885801587301586,51.22646031746032,9
16,2014-09-12,The Drop,12600000.0,10724389.0,19054534.0,tt4745746,The Drop,The Drop,2015,50.0,Documentary,-1875611.0,6454534.0,True,-14.885801587301586,51.22646031746032,9
16,2014-09-12,The Drop,12600000.0,10724389.0,19054534.0,tt5177706,The Drop,The Drop,2016,,Documentary,-1875611.0,6454534.0,True,-14.885801587301586,51.22646031746032,9
18,2010-09-03,Machete,12500000.0,26593646.0,46370970.0,tt0985694,Machete,Machete,2010,105.0,"Action,Crime,Thriller",14093646.0,33870970.0,False,112.74916800000001,270.96776,9
28,2010-10-15,Conviction,12500000.0,6797696.0,11826980.0,tt1244754,Conviction,Conviction,2010,107.0,"Biography,Crime,Drama",-5702304.0,-673020.0,True,-45.618432,-5.3841600000000005,10
28,2010-10-15,Conviction,12500000.0,6797696.0,11826980.0,tt1772252,Conviction,Conviction,2013,,Drama,-5702304.0,-673020.0,True,-45.618432,-5.3841600000000005,10
32,2010-12-17,Casino Jack,12500000.0,2039869.0,2272186.0,tt1194417,Casino Jack,Casino Jack,2010,108.0,"Biography,Comedy,Crime",-10460131.0,-10227814.0,True,-83.681048,-81.822512,12
37,2012-10-05,The Paperboy,12500000.0,677200.0,4027663.0,tt1496422,The Paperboy,The Paperboy,2012,107.0,"Crime,Drama,Mystery",-11822800.0,-8472337.0,True,-94.5824,-67.77869600000001,10
39,2012-05-04,A Little Bit of Heaven,12500000.0,10011.0,1100287.0,tt1440161,A Little Bit of Heaven,A Little Bit of Heaven,2011,106.0,"Comedy,Drama,Fantasy",-12489989.0,-11399713.0,True,-99.919912,-91.197704,5
43,2014-06-06,The Fault in Our Stars,12000000.0,124872350.0,307166834.0,tt2582846,The Fault in Our Stars,The Fault in Our Stars,2014,126.0,"Drama,Romance",112872350.0,295166834.0,False,940.6029166666666,2459.7236166666667,6
45,2012-04-20,Think Like a Man,12000000.0,91547205.0,113373764.0,tt1621045,Think Like a Man,Think Like a Man,2012,122.0,"Comedy,Romance",79547205.0,101373764.0,False,662.893375,844.7813666666667,4
52,2012-02-24,Act of Valor,12000000.0,70012847.0,82497035.0,tt1591479,Act of Valor,Act of Valor,2012,110.0,"Action,Adventure,Drama",58012847.0,70497035.0,False,483.4403916666667,587.4752916666667,2
53,1985-02-08,Witness,12000000.0,65532576.0,65532576.0,tt2802196,Witness,Witness,2012,96.0,"Action,Crime,Drama",53532576.0,53532576.0,False,446.1048,446.1048,2
53,1985-02-08,Witness,12000000.0,65532576.0,65532576.0,tt4361256,Witness,Witness,2015,60.0,Drama,53532576.0,53532576.0,False,446.1048,446.1048,2
53,1985-02-08,Witness,12000000.0,65532576.0,65532576.0,tt7909340,Witness,Witness,2018,67.0,Western,53532576.0,53532576.0,False,446.1048,446.1048,2
53,1985-02-08,Witness,12000000.0,65532576.0,65532576.0,tt8562562,Witness,Witness,2019,129.0,Thriller,53532576.0,53532576.0,False,446.1048,446.1048,2
53,1985-02-08,Witness,12000000.0,65532576.0,65532576.0,tt9596642,Witness,Witness,2019,82.0,Drama,53532576.0,53532576.0,False,446.1048,446.1048,2
54,2006-08-11,Step Up,12000000.0,65328121.0,110989157.0,tt2516968,Step Up,Step Up,2012,55.0,"Biography,Documentary,Drama",53328121.0,98989157.0,False,444.4010083333334,824.9096416666667,8
55,2012-02-03,Chronicle,12000000.0,64575175.0,123681790.0,tt1706593,Chronicle,Chronicle,2012,84.0,"Drama,Sci-Fi,Thriller",52575175.0,111681790.0,False,438.12645833333335,930.6815833333334,2
58,2012-03-02,Project X,12000000.0,54731865.0,103028188.0,tt1636826,Project X,Project X,2012,88.0,Comedy,42731865.0,91028188.0,False,356.098875,758.5682333333334,3
58,2012-03-02,Project X,12000000.0,54731865.0,103028188.0,tt5902440,Project X,Project X,2017,,Mystery,42731865.0,91028188.0,False,356.098875,758.5682333333334,3
59,2017-11-10,"Three Billboards Outside Ebbing, Missouri",12000000.0,54513740.0,160191915.0,tt5027774,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",2017,115.0,"Crime,Drama",42513740.0,148191915.0,False,354.28116666666665,1234.9326250000001,11
60,2016-11-25,Lion,12000000.0,51739495.0,149570720.0,tt2989872,Lion,Lion,2015,70.0,"Comedy,Drama,Romance",39739495.0,137570720.0,False,331.16245833333335,1146.4226666666666,11
60,2016-11-25,Lion,12000000.0,51739495.0,149570720.0,tt3741834,Lion,Lion,2016,118.0,"Biography,Drama",39739495.0,137570720.0,False,331.16245833333335,1146.4226666666666,11
60,2016-11-25,Lion,12000000.0,51739495.0,149570720.0,tt4685968,Lion,Lion,2015,143.0,"Action,Drama,Romance",39739495.0,137570720.0,False,331.16245833333335,1146.4226666666666,11
61,2018-05-04,Overboard,12000000.0,50316123.0,85369830.0,tt1563742,Overboard,Overboard,2018,112.0,"Comedy,Romance",38316123.0,73369830.0,False,319.301025,611.41525,5
65,2013-11-22,Philomena,12000000.0,37709979.0,98963392.0,tt2431286,Philomena,Philomena,2013,98.0,"Biography,Comedy,Drama",25709979.0,86963392.0,False,214.24982500000002,724.6949333333333,11
67,2002-02-15,Crossroads,12000000.0,37188667.0,57000000.0,tt1848834,Crossroads,Crossroads,2015,87.0,"Action,Crime,Drama",25188667.0,45000000.0,False,209.90555833333335,375.0,2
67,2002-02-15,Crossroads,12000000.0,37188667.0,57000000.0,tt1980074,Crossroads,Crossroads,2014,,Action,25188667.0,45000000.0,False,209.90555833333335,375.0,2
67,2002-02-15,Crossroads,12000000.0,37188667.0,57000000.0,tt2190231,Crossroads,Crossroads,2012,,Comedy,25188667.0,45000000.0,False,209.90555833333335,375.0,2
